PubmedID,Title,PublicationDate,Non-academicAuthor(s),CompanyAffiliation(s),CorrespondingAuthorEmail
39755858,"Lymph-node ratio as a risk factor for recurrence following neoadjuvant docetaxel, cisplatin, and 5-fluorouracil therapy for locally advanced esophageal squamous cell carcinoma.",2025 Jan 4,"Tamba M, Okamura A, Osumi H, Imamura Y, Kanamori J, Ogura M, Fukuoka S, Yoshino K, Udagawa S, Wakatsuki T, Shinozaki E, Watanabe M, Yamaguchi K, Chin K, Ooki A",,
39755852,Effectiveness of a protocol with antimicrobial photodynamic therapy for treating osteoradionecrosis: a retrospective study.,2025 Jan 4,"Ferigatto JL, Coracin FL, Tanimoto HM, Viola VP, Tieghi-Neto V, Prado DD, Hirai WY, Teodoro VA, Vazquez FL, Rios SHK",,
39755841,A word of caution in the functional monitoring of patients after rectal cancer surgery: a multicentre observational study.,2025 Jan 4,"Planellas P, Fernandes-Montes N, Golda T, Alonso-Gonçalves S, Elorza G, Gil J, Kreisler E, Abad-Camacho MR, Cornejo L, Marinello F",,
39755832,"Berberine restrains non-small cell lung cancer cell growth, invasion and glycolysis via inactivating the SPC25/NUF2 pathway.",2025 Jan 4,"Lv M, Chen X, Yang Q, Huang C, Lv Y, Zhang T, Cai J",,
39755820,"The incidence of and risk factors for axillary web syndrome with limited shoulder movement after surgery for breast cancer, and the effect of early physical therapy intervention.",2025 Jan 4,"Chou YH, Liao SF, Chen DR, Chen ST, Wang WT",,
39755818,Cyclin E1/CDK2 activation defines a key vulnerability to WEE1 kinase inhibition in gynecological cancers.,2025 Jan 4,"Kim D, Chung H, Liu W, Jeong K, Ozmen TY, Ozmen F, Rames MJ, Kim S, Guo X, Jameson N, de Jong PR, Yea S, Harford L, Li J, Mathews CA, Doroshow DB, Charles VJ, Kim D, Fischer K, Samatar AA, Jubb A, Bunker KD, Blackwell K, Simpkins F, Meric-Bernstam F, Mills GB, Harismendy O, Ma J, Lackner MR",,
39755760,Cytokine dynamics and quality of life: unraveling the impact of cell-free and concentrated ascites reinfusion therapy in ovarian cancer patients.,2025 Jan 4,"Ito R, Kagabu M, Sato S, Takatori E, Kaido Y, Nagasawa T, Shoji T, Hirayama T, Terao Y, Baba T",,
39755729,Glycosylation gene expression profiles enable prognosis prediction for colorectal cancer.,2025 Jan 4,"Li R, He S, Qin T, Ma Y, Xu K, Liu S, Zhan W",,
39755726,Unsupervised self-organising map classification of Raman spectra from prostate cell lines uncovers substratified prostate cancer disease states.,2025 Jan 4,"West D, Stepney S, Hancock Y",,
39755716,"Cardiorespiratory fitness, cardiac morphology and function, and cardiovascular risk factors in long-term breast cancer survivors compared with non-cancer controls.",2025 Jan 4,"Sæter M, Johansen SH, Reinertsen KV, Thorsen L, Haugaa KH, Nilsen TS, Sarvari SI",,
